callOption,strikePrice,putOption
"{u'high': 1938.0, u'ltp': 1793.4, u'lowPriceRange': 1006.2, u'growwContractId': u'NIFTY21NOV16000CE', u'open': 1928.0, u'prevOpenInterest': 332050, u'dayChange': 0.0, u'totalBuyQty': 14450.0, u'volume': 23900, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1697.1, u'close': 1793.4, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16000 Call"", u'highPriceRange': 2729.0, u'openInterest': 314350, u'totalSellQty': 13500.0, u'lastTradeQty': 50}",1600000,"{u'high': 2.65, u'ltp': 1.3, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16000PE', u'open': 1.85, u'prevOpenInterest': 701150, u'dayChange': 0.0, u'totalBuyQty': 759650.0, u'volume': 592700, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.15, u'close': 1.3, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16000 Put"", u'highPriceRange': 11.9, u'openInterest': 896650, u'totalSellQty': 25350.0, u'lastTradeQty': 100}"
"{u'high': 0.0, u'ltp': 1723.95, u'lowPriceRange': 950.0, u'growwContractId': u'NIFTY21NOV16050CE', u'open': 0.0, u'prevOpenInterest': 600, u'dayChange': 0.0, u'totalBuyQty': 6050.0, u'volume': 0, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 1723.95, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16050 Call"", u'highPriceRange': 2680.85, u'openInterest': 600, u'totalSellQty': 6750.0, u'lastTradeQty': 50}",1605000,"{u'high': 2.5, u'ltp': 2.15, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16050PE', u'open': 1.05, u'prevOpenInterest': 4150, u'dayChange': 0.0, u'totalBuyQty': 12100.0, u'volume': 1150, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.05, u'close': 2.15, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16050 Put"", u'highPriceRange': 14.35, u'openInterest': 4150, u'totalSellQty': 5100.0, u'lastTradeQty': 500}"
"{u'high': 1799.0, u'ltp': 1710.0, u'lowPriceRange': 860.7, u'growwContractId': u'NIFTY21NOV16100CE', u'open': 1799.0, u'prevOpenInterest': 8150, u'dayChange': 0.0, u'totalBuyQty': 6400.0, u'volume': 500, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1656.75, u'close': 1710.0, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16100 Call"", u'highPriceRange': 2603.1, u'openInterest': 8000, u'totalSellQty': 5500.0, u'lastTradeQty': 50}",1610000,"{u'high': 3.4, u'ltp': 1.55, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16100PE', u'open': 1.35, u'prevOpenInterest': 62350, u'dayChange': 0.0, u'totalBuyQty': 32000.0, u'volume': 37650, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.35, u'close': 1.55, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16100 Put"", u'highPriceRange': 14.5, u'openInterest': 64000, u'totalSellQty': 11150.0, u'lastTradeQty': 50}"
"{u'high': 0.0, u'ltp': 1611.4, u'lowPriceRange': 851.3, u'growwContractId': u'NIFTY21NOV16150CE', u'open': 0.0, u'prevOpenInterest': 250, u'dayChange': 0.0, u'totalBuyQty': 6650.0, u'volume': 0, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 1611.4, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16150 Call"", u'highPriceRange': 2580.75, u'openInterest': 250, u'totalSellQty': 5650.0, u'lastTradeQty': 50}",1615000,"{u'high': 4.0, u'ltp': 1.75, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16150PE', u'open': 2.5, u'prevOpenInterest': 1100, u'dayChange': 0.0, u'totalBuyQty': 9700.0, u'volume': 6500, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.6, u'close': 1.75, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16150 Put"", u'highPriceRange': 18.3, u'openInterest': 4600, u'totalSellQty': 5350.0, u'lastTradeQty': 50}"
"{u'high': 1586.45, u'ltp': 1586.45, u'lowPriceRange': 787.5, u'growwContractId': u'NIFTY21NOV16200CE', u'open': 1567.55, u'prevOpenInterest': 6100, u'dayChange': 0.0, u'totalBuyQty': 6500.0, u'volume': 350, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1552.0, u'close': 1586.45, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16200 Call"", u'highPriceRange': 2528.85, u'openInterest': 6000, u'totalSellQty': 5950.0, u'lastTradeQty': 50}",1620000,"{u'high': 2.8, u'ltp': 1.6, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16200PE', u'open': 2.25, u'prevOpenInterest': 86150, u'dayChange': 0.0, u'totalBuyQty': 20200.0, u'volume': 77300, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.2, u'close': 1.6, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16200 Put"", u'highPriceRange': 17.0, u'openInterest': 102700, u'totalSellQty': 9950.0, u'lastTradeQty': 550}"
"{u'high': 0.0, u'ltp': 1533.0, u'lowPriceRange': 753.05, u'growwContractId': u'NIFTY21NOV16250CE', u'open': 0.0, u'prevOpenInterest': 50, u'dayChange': 0.0, u'totalBuyQty': 5900.0, u'volume': 0, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 1533.0, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16250 Call"", u'highPriceRange': 2480.45, u'openInterest': 50, u'totalSellQty': 6800.0, u'lastTradeQty': 50}",1625000,"{u'high': 6.55, u'ltp': 2.1, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16250PE', u'open': 1.15, u'prevOpenInterest': 1750, u'dayChange': 0.0, u'totalBuyQty': 17400.0, u'volume': 21150, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.15, u'close': 2.1, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16250 Put"", u'highPriceRange': 11.4, u'openInterest': 10250, u'totalSellQty': 11100.0, u'lastTradeQty': 950}"
"{u'high': 1510.0, u'ltp': 1475.75, u'lowPriceRange': 703.95, u'growwContractId': u'NIFTY21NOV16300CE', u'open': 1430.0, u'prevOpenInterest': 4600, u'dayChange': 0.0, u'totalBuyQty': 6450.0, u'volume': 700, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1420.0, u'close': 1475.75, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16300 Call"", u'highPriceRange': 2430.25, u'openInterest': 4850, u'totalSellQty': 6350.0, u'lastTradeQty': 50}",1630000,"{u'high': 3.9, u'ltp': 1.75, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16300PE', u'open': 1.7, u'prevOpenInterest': 66350, u'dayChange': 0.0, u'totalBuyQty': 34500.0, u'volume': 69300, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.35, u'close': 1.75, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16300 Put"", u'highPriceRange': 17.7, u'openInterest': 77400, u'totalSellQty': 9150.0, u'lastTradeQty': 100}"
"{u'high': 0.0, u'ltp': 1932.95, u'lowPriceRange': 655.25, u'growwContractId': u'NIFTY21NOV16350CE', u'open': 0.0, u'prevOpenInterest': 50, u'dayChange': 0.0, u'totalBuyQty': 5900.0, u'volume': 0, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 1932.95, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16350 Call"", u'highPriceRange': 2379.9, u'openInterest': 50, u'totalSellQty': 6800.0, u'lastTradeQty': 50}",1635000,"{u'high': 4.0, u'ltp': 1.7, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16350PE', u'open': 2.45, u'prevOpenInterest': 950, u'dayChange': 0.0, u'totalBuyQty': 9900.0, u'volume': 4200, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.7, u'close': 1.7, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16350 Put"", u'highPriceRange': 22.75, u'openInterest': 3050, u'totalSellQty': 5650.0, u'lastTradeQty': 150}"
"{u'high': 1485.65, u'ltp': 1376.4, u'lowPriceRange': 572.55, u'growwContractId': u'NIFTY21NOV16400CE', u'open': 1485.65, u'prevOpenInterest': 7150, u'dayChange': 0.0, u'totalBuyQty': 6450.0, u'volume': 2450, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1300.0, u'close': 1376.4, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16400 Call"", u'highPriceRange': 2308.8, u'openInterest': 7300, u'totalSellQty': 6400.0, u'lastTradeQty': 50}",1640000,"{u'high': 3.75, u'ltp': 1.7, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16400PE', u'open': 2.05, u'prevOpenInterest': 159450, u'dayChange': 0.0, u'totalBuyQty': 41050.0, u'volume': 270500, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.3, u'close': 1.7, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16400 Put"", u'highPriceRange': 16.05, u'openInterest': 185650, u'totalSellQty': 5650.0, u'lastTradeQty': 100}"
"{u'high': 0.0, u'ltp': 1510.35, u'lowPriceRange': 558.9, u'growwContractId': u'NIFTY21NOV16450CE', u'open': 0.0, u'prevOpenInterest': 150, u'dayChange': 0.0, u'totalBuyQty': 4600.0, u'volume': 0, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 1510.35, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16450 Call"", u'highPriceRange': 2278.85, u'openInterest': 150, u'totalSellQty': 6450.0, u'lastTradeQty': 50}",1645000,"{u'high': 4.0, u'ltp': 1.9, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV16450PE', u'open': 3.0, u'prevOpenInterest': 3350, u'dayChange': 0.0, u'totalBuyQty': 4650.0, u'volume': 7200, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.85, u'close': 1.9, u'contractDisplayName': u""NIFTY 25 Nov '21 - 16450 Put"", u'highPriceRange': 20.1, u'openInterest': 4100, u'totalSellQty': 5600.0, u'lastTradeQty': 50}"
